 frequency       inoise_spectrum onoise_spectrum
 2.66527837e+01  4.95243976e-10  1.11628351e-08 
 2.72673897e+01  4.95219035e-10  1.11622729e-08 
 2.78961683e+01  4.95194655e-10  1.11617234e-08 
 2.85394464e+01  4.95170823e-10  1.11611862e-08 
 2.91975583e+01  4.95147527e-10  1.11606612e-08 
 2.98708461e+01  4.95124756e-10  1.11601479e-08 
 3.05596598e+01  4.95102496e-10  1.11596461e-08 
 3.12643573e+01  4.95080738e-10  1.11591557e-08 
 3.19853049e+01  4.95059468e-10  1.11586763e-08 
 3.27228774e+01  4.95038678e-10  1.11582077e-08 
 3.34774581e+01  4.95018355e-10  1.11577496e-08 
 3.42494392e+01  4.94998489e-10  1.11573018e-08 
 3.50392221e+01  4.94979070e-10  1.11568641e-08 
 3.58472171e+01  4.94960089e-10  1.11564363e-08 
 3.66738442e+01  4.94941534e-10  1.11560181e-08 
 3.75195331e+01  4.94923397e-10  1.11556092e-08 
 3.83847234e+01  4.94905668e-10  1.11552096e-08 
 3.92698648e+01  4.94888339e-10  1.11548190e-08 
 4.01754173e+01  4.94871399e-10  1.11544372e-08 
 4.11018515e+01  4.94854840e-10  1.11540640e-08 
 4.20496491e+01  4.94838654e-10  1.11536991e-08 
 4.30193027e+01  4.94822833e-10  1.11533425e-08 
 4.40113162e+01  4.94807367e-10  1.11529939e-08 
 4.50262052e+01  4.94792250e-10  1.11526532e-08 
 4.60644974e+01  4.94777473e-10  1.11523201e-08 
 4.71267322e+01  4.94763029e-10  1.11519945e-08 
 4.82134619e+01  4.94748910e-10  1.11516763e-08 
 4.93252513e+01  4.94735108e-10  1.11513652e-08 
 5.04626783e+01  4.94721618e-10  1.11510611e-08 
 5.16263340e+01  4.94708431e-10  1.11507639e-08 
 5.28168234e+01  4.94695541e-10  1.11504733e-08 
 5.40347650e+01  4.94682941e-10  1.11501893e-08 
 5.52807921e+01  4.94670625e-10  1.11499117e-08 
 5.65555523e+01  4.94658586e-10  1.11496404e-08 
 5.78597080e+01  4.94646818e-10  1.11493751e-08 
 5.91939372e+01  4.94635316e-10  1.11491159e-08 
 6.05589334e+01  4.94624072e-10  1.11488624e-08 
 6.19554061e+01  4.94613081e-10  1.11486147e-08 
 6.33840810e+01  4.94602338e-10  1.11483726e-08 
 6.48457008e+01  4.94591837e-10  1.11481359e-08 
 6.63410251e+01  4.94581573e-10  1.11479045e-08 
 6.78708313e+01  4.94571539e-10  1.11476783e-08 
 6.94359143e+01  4.94561732e-10  1.11474573e-08 
 7.10370877e+01  4.94552145e-10  1.11472412e-08 
 7.26751838e+01  4.94542774e-10  1.11470300e-08 
 7.43510539e+01  4.94533615e-10  1.11468235e-08 
 7.60655691e+01  4.94524661e-10  1.11466217e-08 
 7.78196206e+01  4.94515909e-10  1.11464244e-08 
 7.96141200e+01  4.94507355e-10  1.11462316e-08 
 8.14500001e+01  4.94498993e-10  1.11460431e-08 
 8.33282151e+01  4.94490819e-10  1.11458589e-08 
 8.52497412e+01  4.94482830e-10  1.11456788e-08 
 8.72155772e+01  4.94475020e-10  1.11455028e-08 
 8.92267449e+01  4.94467386e-10  1.11453307e-08 
 9.12842895e+01  4.94459925e-10  1.11451625e-08 
 9.33892805e+01  4.94452631e-10  1.11449981e-08 
 9.55428121e+01  4.94445502e-10  1.11448374e-08 
 9.77460036e+01  4.94438533e-10  1.11446804e-08 
 1.00000000e+02  4.94431721e-10  1.11445268e-08 
 1.02305973e+02  4.94425063e-10  1.11443768e-08 
