 frequency       inoise_spectrum onoise_spectrum
 8.72155772e+02  1.38637221e-09  3.08974818e-08 
 8.92267449e+02  1.38636807e-09  3.08973895e-08 
 9.12842895e+02  1.38636402e-09  3.08972992e-08 
 9.33892805e+02  1.38636007e-09  3.08972110e-08 
 9.55428121e+02  1.38635621e-09  3.08971247e-08 
 9.77460036e+02  1.38635243e-09  3.08970404e-08 
 1.00000000e+03  1.38634874e-09  3.08969579e-08 
 1.02305973e+03  1.38634513e-09  3.08968774e-08 
 1.04665121e+03  1.38634160e-09  3.08967986e-08 
 1.07078670e+03  1.38633815e-09  3.08967216e-08 
 1.09547876e+03  1.38633478e-09  3.08966463e-08 
 1.12074020e+03  1.38633149e-09  3.08965726e-08 
 1.14658417e+03  1.38632827e-09  3.08965007e-08 
 1.17302409e+03  1.38632512e-09  3.08964303e-08 
 1.20007371e+03  1.38632205e-09  3.08963615e-08 
 1.22774708e+03  1.38631904e-09  3.08962943e-08 
 1.25605860e+03  1.38631610e-09  3.08962285e-08 
 1.28502297e+03  1.38631323e-09  3.08961642e-08 
 1.31465525e+03  1.38631042e-09  3.08961014e-08 
 1.34497085e+03  1.38630767e-09  3.08960399e-08 
 1.37598551e+03  1.38630499e-09  3.08959798e-08 
 1.40771537e+03  1.38630237e-09  3.08959210e-08 
 1.44017690e+03  1.38629980e-09  3.08958636e-08 
 1.47338699e+03  1.38629730e-09  3.08958074e-08 
 1.50736290e+03  1.38629485e-09  3.08957524e-08 
 1.54212228e+03  1.38629246e-09  3.08956987e-08 
 1.57768320e+03  1.38629011e-09  3.08956462e-08 
 1.61406415e+03  1.38628783e-09  3.08955948e-08 
 1.65128404e+03  1.38628559e-09  3.08955445e-08 
 1.68936220e+03  1.38628341e-09  3.08954954e-08 
 1.72831844e+03  1.38628127e-09  3.08954473e-08 
 1.76817299e+03  1.38627918e-09  3.08954003e-08 
 1.80894658e+03  1.38627714e-09  3.08953543e-08 
 1.85066040e+03  1.38627515e-09  3.08953093e-08 
 1.89333613e+03  1.38627320e-09  3.08952652e-08 
 1.93699595e+03  1.38627129e-09  3.08952222e-08 
 1.98166255e+03  1.38626943e-09  3.08951800e-08 
 2.02735916e+03  1.38626761e-09  3.08951388e-08 
 2.07410951e+03  1.38626583e-09  3.08950984e-08 
 2.12193792e+03  1.38626409e-09  3.08950589e-08 
 2.17086923e+03  1.38626238e-09  3.08950203e-08 
 2.22092889e+03  1.38626072e-09  3.08949825e-08 
 2.27214291e+03  1.38625910e-09  3.08949454e-08 
 2.32453791e+03  1.38625751e-09  3.08949092e-08 
 2.37814113e+03  1.38625596e-09  3.08948737e-08 
 2.43298042e+03  1.38625444e-09  3.08948390e-08 
 2.48908429e+03  1.38625296e-09  3.08948049e-08 
 2.54648190e+03  1.38625151e-09  3.08947716e-08 
 2.60520309e+03  1.38625009e-09  3.08947389e-08 
 2.66527837e+03  1.38624870e-09  3.08947069e-08 
 2.72673897e+03  1.38624735e-09  3.08946756e-08 
 2.78961683e+03  1.38624603e-09  3.08946449e-08 
 2.85394464e+03  1.38624473e-09  3.08946148e-08 
 2.91975583e+03  1.38624347e-09  3.08945852e-08 
 2.98708461e+03  1.38624223e-09  3.08945563e-08 
 3.05596598e+03  1.38624102e-09  3.08945279e-08 
 3.12643573e+03  1.38623984e-09  3.08945000e-08 
 3.19853049e+03  1.38623869e-09  3.08944727e-08 
 3.27228774e+03  1.38623756e-09  3.08944459e-08 
 3.34774581e+03  1.38623646e-09  3.08944195e-08 
 3.42494392e+03  1.38623538e-09  3.08943936e-08 
 3.50392221e+03  1.38623432e-09  3.08943682e-08 
 3.58472171e+03  1.38623329e-09  3.08943433e-08 
 3.66738442e+03  1.38623229e-09  3.08943187e-08 
 3.75195331e+03  1.38623130e-09  3.08942946e-08 
 3.83847234e+03  1.38623034e-09  3.08942708e-08 
 3.92698648e+03  1.38622940e-09  3.08942474e-08 
 4.01754173e+03  1.38622848e-09  3.08942244e-08 
 4.11018515e+03  1.38622758e-09  3.08942017e-08 
 4.20496491e+03  1.38622671e-09  3.08941794e-08 
 4.30193027e+03  1.38622585e-09  3.08941573e-08 
 4.40113162e+03  1.38622501e-09  3.08941356e-08 
 4.50262052e+03  1.38622419e-09  3.08941141e-08 
 4.60644974e+03  1.38622339e-09  3.08940929e-08 
 4.71267322e+03  1.38622260e-09  3.08940719e-08 
 4.82134619e+03  1.38622184e-09  3.08940512e-08 
 4.93252513e+03  1.38622109e-09  3.08940307e-08 
 5.04626783e+03  1.38622036e-09  3.08940104e-08 
 5.16263340e+03  1.38621964e-09  3.08939903e-08 
 5.28168234e+03  1.38621894e-09  3.08939703e-08 
 5.40347650e+03  1.38621826e-09  3.08939505e-08 
 5.52807921e+03  1.38621759e-09  3.08939308e-08 
 5.65555523e+03  1.38621694e-09  3.08939112e-08 
 5.78597080e+03  1.38621630e-09  3.08938917e-08 
 5.91939372e+03  1.38621568e-09  3.08938723e-08 
 6.05589334e+03  1.38621507e-09  3.08938529e-08 
 6.19554061e+03  1.38621447e-09  3.08938336e-08 
 6.33840810e+03  1.38621389e-09  3.08938143e-08 
 6.48457008e+03  1.38621332e-09  3.08937950e-08 
 6.63410251e+03  1.38621276e-09  3.08937757e-08 
 6.78708313e+03  1.38621222e-09  3.08937563e-08 
 6.94359143e+03  1.38621169e-09  3.08937368e-08 
 7.10370877e+03  1.38621117e-09  3.08937173e-08 
 7.26751838e+03  1.38621066e-09  3.08936977e-08 
 7.43510539e+03  1.38621016e-09  3.08936779e-08 
 7.60655691e+03  1.38620968e-09  3.08936580e-08 
 7.78196206e+03  1.38620920e-09  3.08936379e-08 
 7.96141200e+03  1.38620874e-09  3.08936176e-08 
 8.14500001e+03  1.38620829e-09  3.08935970e-08 
 8.33282151e+03  1.38620784e-09  3.08935762e-08 
 8.52497412e+03  1.38620741e-09  3.08935551e-08 
