 v-sweep         (dc1.i(vic))    (dc2.i(vic))    (dc3.i(vic))    (dc4.i(vic))    (dc5.i(vic))    (dc6.i(vic))    (dc7.i(vic))    (dc8.i(vic))    (dc9.i(vic))    (dc10.i(vic))   (dc1.i(vic_l))  (dc2.i(vic_l))  (dc3.i(vic_l))  (dc4.i(vic_l))  (dc5.i(vic_l))  (dc6.i(vic_l))  (dc7.i(vic_l))  (dc8.i(vic_l))  (dc9.i(vic_l))  (dc10.i(vic_l)) (dc1.i(vic_v))  (dc2.i(vic_v))  (dc3.i(vic_v))  (dc4.i(vic_v))  (dc5.i(vic_v))  (dc6.i(vic_v))  (dc7.i(vic_v))  (dc8.i(vic_v))  (dc9.i(vic_v))  (dc10.i(vic_v))
 1.10000000e+00  6.02014121e-03  1.20385548e-02  1.80562746e-02  2.40735339e-02  3.00904457e-02  3.61070773e-02  4.21234738e-02  4.81396675e-02  5.41556827e-02  6.01715384e-02  1.61067792e-02  3.02740281e-02  4.36961142e-02  5.66701729e-02  6.93241695e-02  8.17295118e-02  9.39319487e-02  1.05963316e-01  1.17847033e-01  1.29601042e-01  3.84137178e-03  7.66893248e-03  1.14897946e-02  1.53058519e-02  1.91180814e-02  2.29270931e-02  2.67333089e-02  3.05370404e-02  3.43385280e-02  3.81379638e-02 
 1.15000000e+00  7.40185472e-03  1.48015433e-02  2.22003628e-02  2.95986049e-02  3.69964112e-02  4.43938662e-02  5.17910264e-02  5.91879323e-02  6.65846142e-02  7.39811026e-02  1.85564156e-02  3.54609318e-02  5.17156850e-02  6.75311535e-02  8.30157716e-02  9.82285566e-02  1.13210081e-01  1.27989802e-01  1.42590242e-01  1.57028771e-01  3.87434529e-03  7.74117935e-03  1.16045115e-02  1.54653341e-02  1.93241709e-02  2.31813469e-02  2.70370862e-02  3.08915534e-02  3.47448751e-02  3.85976058e-02 
 1.20000000e+00  8.54818574e-03  1.70938539e-02  2.56385283e-02  3.41825380e-02  4.27260462e-02  5.12692251e-02  5.98120052e-02  6.83544934e-02  7.68967246e-02  8.54387262e-02  2.06591887e-02  3.96062062e-02  5.78690156e-02  7.56871364e-02  9.31750958e-02  1.10399334e-01  1.27406041e-01  1.44226292e-01  1.60883757e-01  1.77396777e-01  3.88952260e-03  7.77426039e-03  1.16567722e-02  1.55377127e-02  1.94174164e-02  2.32961143e-02  2.71739054e-02  3.10509128e-02  3.49272166e-02  3.88028811e-02 
 1.25000000e+00  9.57806816e-03  1.91519015e-02  2.87240420e-02  3.82950606e-02  4.78652325e-02  5.74347256e-02  6.70036466e-02  7.65720752e-02  8.61400708e-02  9.57076795e-02  2.25142417e-02  4.34245689e-02  6.36200723e-02  8.33410181e-02  1.02706381e-01  1.21787468e-01  1.40632098e-01  1.59274376e-01  1.77739921e-01  1.96048676e-01  3.89785231e-03  7.79228469e-03  1.16851411e-02  1.55768922e-02  1.94677767e-02  2.33579417e-02  2.72474880e-02  3.11364893e-02  3.50250022e-02  3.89130716e-02 
 1.30000000e+00  1.06058206e-02  2.12044910e-02  3.18003105e-02  4.23942428e-02  5.29867532e-02  6.35781192e-02  7.41685262e-02  8.47581067e-02  9.53469602e-02  1.05935165e-01  2.39135824e-02  4.65596038e-02  6.85488472e-02  9.00781344e-02  1.11252338e-01  1.32137290e-01  1.52778311e-01  1.73208533e-01  1.93453250e-01  2.13532404e-01  3.90299748e-03  7.80336823e-03  1.17025389e-02  1.56008710e-02  1.94985475e-02  2.33956809e-02  2.72923481e-02  3.11886054e-02  3.50844957e-02  3.89800532e-02 
 1.35000000e+00  1.16107918e-02  2.32104685e-02  3.48057268e-02  4.63980634e-02  5.79882006e-02  6.95765688e-02  8.11634548e-02  9.27490640e-02  1.04333551e-01  1.15917036e-01  2.48149128e-02  4.87618429e-02  7.22028560e-02  9.52644165e-02  1.18019103e-01  1.40515226e-01  1.62787619e-01  1.84862728e-01  2.06761372e-01  2.28500393e-01  3.90644986e-03  7.81078228e-03  1.17141535e-02  1.56168550e-02  1.95190340e-02  2.34207809e-02  2.73221573e-02  3.12232083e-02  3.51239683e-02  3.90244648e-02 
 1.40000000e+00  1.25444447e-02  2.50732712e-02  3.75959094e-02  5.01144602e-02  6.26299367e-02  7.51429420e-02  8.76538779e-02  1.00163032e-01  1.12670620e-01  1.25176810e-01  2.53549563e-02  5.01437518e-02  7.45876152e-02  9.87610685e-02  1.22707337e-01  1.46455844e-01  1.70028372e-01  1.93441914e-01  2.16710206e-01  2.39844644e-01  3.90891044e-03  7.81605385e-03  1.17223991e-02  1.56281896e-02  1.95335479e-02  2.34385491e-02  2.73432446e-02  3.12476719e-02  3.51518594e-02  3.90558299e-02 
 1.45000000e+00  1.33494234e-02  2.66793529e-02  4.00015789e-02  5.33187216e-02  6.66320436e-02  7.99422958e-02  9.32499785e-02  1.06555449e-01  1.19858977e-01  1.33160771e-01  2.56836512e-02  5.09888813e-02  7.60647661e-02  1.00958705e-01  1.25697449e-01  1.50298918e-01  1.74776271e-01  1.99139741e-01  2.23397610e-01  2.47556772e-01  3.91074562e-03  7.81997801e-03  1.17285297e-02  1.56366091e-02  1.95443209e-02  2.34517295e-02  2.73588786e-02  3.12658002e-02  3.51725187e-02  3.90790533e-02 
 1.50000000e+00  1.39797589e-02  2.79383298e-02  4.18885333e-02  5.58332166e-02  6.97737515e-02  8.37054000e-02  9.76388687e-02  1.11569934e-01  1.25498888e-01  1.39425959e-01  2.58970704e-02  5.15303939e-02  7.70075881e-02  1.02361397e-01  1.27609833e-01  1.52732800e-01  1.77795828e-01  2.02780436e-01  2.27691945e-01  2.52534743e-01  3.91216633e-03  7.82301116e-03  1.17332636e-02  1.56431056e-02  1.95526285e-02  2.34618673e-02  2.73708983e-02  3.12797321e-02  3.51883900e-02  3.90968887e-02 
 1.55000000e+00  1.44253167e-02  2.88303359e-02  4.32273263e-02  5.76139825e-02  7.20004391e-02  8.63836954e-02  1.00764273e-01  1.15142543e-01  1.29518787e-01  1.43893223e-01  2.60392530e-02  5.18835626e-02  7.76157990e-02  1.03250042e-01  1.28816508e-01  1.54317146e-01  1.79758211e-01  2.05144442e-01  2.30479595e-01  2.55766740e-01  3.91329193e-03  7.82541084e-03  1.17370055e-02  1.56482294e-02  1.95591772e-02  2.34698927e-02  2.73804099e-02  3.12907533e-02  3.52009416e-02  3.91109898e-02 
 1.60000000e+00  1.47203252e-02  2.94228073e-02  4.41182122e-02  5.88086109e-02  7.34957399e-02  8.81718202e-02  1.02852414e-01  1.17530972e-01  1.32207740e-01  1.46882912e-01  2.61408992e-02  5.21312734e-02  7.80373257e-02  1.03877705e-01  1.29663894e-01  1.55395346e-01  1.81088579e-01  2.06742073e-01  2.32358662e-01  2.57940648e-01  3.91420741e-03  7.82736019e-03  1.17400428e-02  1.56524003e-02  1.95645057e-02  2.34763964e-02  2.73881155e-02  3.12996792e-02  3.52111044e-02  3.91224045e-02 
