 v-sweep         (dc1.i(vib))    (dc2.i(vib))    (dc3.i(vib))    (dc4.i(vib))    (dc5.i(vib))    (dc6.i(vib))    (dc7.i(vib))    (dc8.i(vib))    (dc9.i(vib))    (dc10.i(vib))   (dc1.i(vib_l))  (dc2.i(vib_l))  (dc3.i(vib_l))  (dc4.i(vib_l))  (dc5.i(vib_l))  (dc6.i(vib_l))  (dc7.i(vib_l))  (dc8.i(vib_l))  (dc9.i(vib_l))  (dc10.i(vib_l)) (dc1.i(vib_v))  (dc2.i(vib_v))  (dc3.i(vib_v))  (dc4.i(vib_v))  (dc5.i(vib_v))  (dc6.i(vib_v))  (dc7.i(vib_v))  (dc8.i(vib_v))  (dc9.i(vib_v))  (dc10.i(vib_v))
 1.10000000e+00  1.88939235e-05  3.77790545e-05  5.66606565e-05  7.55399162e-05  9.44174081e-05  1.13293475e-04  1.32168347e-04  1.51042187e-04  1.69915119e-04  1.88787241e-04  5.08378668e-05  8.78288388e-05  1.23086967e-04  1.56842663e-04  1.89423999e-04  2.21072121e-04  2.51955471e-04  2.82195200e-04  3.11881642e-04  3.41084331e-04  2.79864764e-03  5.15578612e-03  7.35212177e-03  9.44584688e-03  1.14642615e-02  1.34232956e-02  1.53333938e-02  1.72019306e-02  1.90343873e-02  2.08349959e-02 
 1.15000000e+00  2.72146998e-05  5.44085498e-05  8.15940141e-05  1.08773933e-04  1.35949671e-04  1.63122041e-04  1.90291586e-04  2.17458695e-04  2.44623661e-04  2.71786488e-04  1.34467112e-04  1.97734247e-04  2.48473426e-04  2.93494710e-04  3.34937519e-04  3.74164092e-04  4.11901648e-04  4.48600840e-04  4.84558003e-04  5.19997527e-04  4.78273356e-03  8.88578841e-03  1.27401985e-02  1.64358895e-02  2.00149094e-02  2.35018097e-02  2.69126986e-02  3.02589556e-02  3.35490441e-02  3.67860656e-02 
 1.20000000e+00  4.87400549e-05  9.73891593e-05  1.45993273e-04  1.94570747e-04  2.43128138e-04  2.91641847e-04  3.40165045e-04  3.88676567e-04  4.37177817e-04  4.85669892e-04  3.55662577e-04  5.19075676e-04  6.45853866e-04  7.53619389e-04  8.49204253e-04  9.35296269e-04  1.01584817e-03  1.09121740e-03  1.16235709e-03  1.22996479e-03  7.01584399e-03  1.30995485e-02  1.88435038e-02  2.43703322e-02  2.97375504e-02  3.49784165e-02  4.01155354e-02  4.51642040e-02  5.01359933e-02  5.50398341e-02 
 1.25000000e+00  9.37839975e-05  1.87254247e-04  2.80599366e-04  3.73861633e-04  4.67061570e-04  5.60211096e-04  6.53318595e-04  7.46389798e-04  8.39429083e-04  9.32439864e-04  8.18709341e-04  1.20077858e-03  1.49629939e-03  1.74695058e-03  1.96885602e-03  2.17033756e-03  2.35627366e-03  2.52988327e-03  2.69340033e-03  2.84845238e-03  9.39723255e-03  1.76012563e-02  2.53712648e-02  3.28639981e-02  4.01529645e-02  4.72810595e-02  5.42764154e-02  6.11589005e-02  6.79432880e-02  7.46409888e-02 
 1.30000000e+00  1.69681816e-04  3.38528901e-04  5.07044318e-04  6.75340407e-04  8.43471419e-04  1.01146987e-03  1.17935690e-03  1.34714812e-03  1.51485510e-03  1.68248690e-03  1.64504253e-03  2.45923928e-03  3.08445335e-03  3.61185550e-03  4.07713911e-03  4.49855591e-03  4.88688393e-03  5.24910811e-03  5.59005389e-03  5.91321872e-03  1.18742541e-02  2.22876925e-02  3.21706153e-02  4.17147794e-02  5.10100708e-02  6.01089251e-02  6.90457229e-02  7.78447401e-02  8.65240248e-02  9.50975150e-02 
 1.35000000e+00  2.88409023e-04  5.74801688e-04  8.60397049e-04  1.14546619e-03  1.43013978e-03  1.71449553e-03  1.99858522e-03  2.28244586e-03  2.56610528e-03  2.84958518e-03  2.87527781e-03  4.45554104e-03  5.68153669e-03  6.71525608e-03  7.62442679e-03  8.44494221e-03  9.19844892e-03  9.89913968e-03  1.05568875e-02  1.11788718e-02  1.44171452e-02  2.71008871e-02  3.91559365e-02  5.08097076e-02  6.21687576e-02  7.32952301e-02  8.42298625e-02  9.50014146e-02  1.05631265e-01  1.16135921e-01 
 1.40000000e+00  4.67484340e-04  9.30391688e-04  1.39150161e-03  1.85142827e-03  2.31046698e-03  2.76879319e-03  3.22652359e-03  3.68374153e-03  4.14050964e-03  4.59687671e-03  4.43294542e-03  7.14707178e-03  9.32219142e-03  1.11850854e-02  1.28366866e-02  1.43331328e-02  1.57096130e-02  1.69899343e-02  1.81910890e-02  1.93256979e-02  1.70078039e-02  3.20057713e-02  4.62755570e-02  6.00807286e-02  7.35447420e-02  8.67395805e-02  9.97124230e-02  1.12496572e-01  1.25116781e-01  1.37592160e-01 
 1.45000000e+00  7.31136353e-04  1.45243306e-03  2.16989924e-03  2.88485174e-03  3.59792203e-03  4.30948450e-03  5.01978776e-03  5.72900925e-03  6.43728208e-03  7.14470989e-03  6.21137702e-03  1.03511461e-02  1.37894305e-02  1.68024467e-02  1.95170328e-02  2.20057308e-02  2.43151929e-02  2.64777393e-02  2.85169514e-02  3.04507061e-02  1.96345462e-02  3.69797787e-02  5.34962923e-02  6.94842012e-02  8.50840417e-02  1.00377740e-01  1.15418986e-01  1.30245672e-01  1.44885960e-01  1.59361592e-01 
 1.50000000e+00  1.10327929e-03  2.18702372e-03  3.26323231e-03  4.33451193e-03  5.40210905e-03  6.46985314e-03  7.53256335e-03  8.59316583e-03  9.65192180e-03  1.07090344e-02  8.12869114e-03  1.38858053e-02  1.88065184e-02  2.32071535e-02  2.72349599e-02  3.10077774e-02  3.45219824e-02  3.78427641e-02  4.09987410e-02  4.40118409e-02  2.22892398e-02  4.20072398e-02  6.07951353e-02  7.89899037e-02  9.67493078e-02  1.14166410e-01  1.31299425e-01  1.48191805e-01  1.64875150e-01  1.81373854e-01 
 1.55000000e+00  1.59388246e-03  3.15318552e-03  4.69924309e-03  6.23993015e-03  7.77169103e-03  9.29829943e-03  1.08206154e-02  1.23392515e-02  1.38546663e-02  1.53672162e-02  1.01444067e-02  1.76542058e-02  2.42140617e-02  3.01876560e-02  3.57180701e-02  4.09095745e-02  4.58246639e-02  5.05073488e-02  5.49902461e-02  5.92984662e-02  2.49667428e-02  4.70782751e-02  6.81576061e-02  8.85793393e-02  1.08517708e-01  1.28075146e-01  1.47318517e-01  1.66295003e-01  1.85039667e-01  2.03579574e-01 
 1.60000000e+00  2.18894882e-03  4.32358959e-03  6.43752015e-03  8.53815783e-03  1.06285956e-02  1.27170848e-02  1.47937839e-02  1.68647551e-02  1.89307147e-02  2.09922193e-02  1.22242485e-02  2.15722136e-02  2.98700568e-02  3.75012386e-02  4.46441040e-02  5.14131952e-02  5.78615034e-02  6.40445487e-02  6.99984031e-02  7.57508984e-02  2.76626656e-02  5.21844532e-02  7.55713505e-02  9.82348206e-02  1.20367408e-01  1.42081792e-01  1.63450638e-01  1.84526205e-01  2.05347036e-01  2.25942880e-01 
